"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after",2.624699,0.656175,4,"31,960",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load",2.623045,0.655761,4,"29,088",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->after_load",0.433510,0.108378,4,"16,448",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after",2.181953,0.545488,4,"14,736",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory",2.180316,0.545079,4,"11,640",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:model_load_before",0.005596,0.000699,8,"-1,800",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:core_abstract_load_before",0.001435,0.000179,8,"-1,736",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:model_load_after",0.002362,0.000295,8,"-1,800",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:core_abstract_load_after",0.001466,0.000183,8,"2,360",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:abstract_search_result_load_before",0.007078,0.000221,32,"-8,648",0
